Step 100/900000, Total Loss: 10.3468, Mel Loss: 3.4403, Mel PostNet Loss: 2.9205, Pitch Loss: 1.2494, Energy Loss: 2.0107, Duration Loss: 0.7259
Step 200/900000, Total Loss: 7.9574, Mel Loss: 2.5826, Mel PostNet Loss: 2.1037, Pitch Loss: 1.2083, Energy Loss: 1.6211, Duration Loss: 0.4418
Step 300/900000, Total Loss: 5.1655, Mel Loss: 1.6302, Mel PostNet Loss: 1.4655, Pitch Loss: 0.7772, Energy Loss: 1.0226, Duration Loss: 0.2701
Step 400/900000, Total Loss: 5.1629, Mel Loss: 1.3734, Mel PostNet Loss: 1.4591, Pitch Loss: 1.1280, Energy Loss: 0.9652, Duration Loss: 0.2371
Step 500/900000, Total Loss: 4.2518, Mel Loss: 1.0958, Mel PostNet Loss: 1.3184, Pitch Loss: 0.6938, Energy Loss: 0.9718, Duration Loss: 0.1720
Step 600/900000, Total Loss: 3.7931, Mel Loss: 0.9722, Mel PostNet Loss: 1.2323, Pitch Loss: 0.8528, Energy Loss: 0.5756, Duration Loss: 0.1601
Step 700/900000, Total Loss: 4.0497, Mel Loss: 1.0840, Mel PostNet Loss: 1.1317, Pitch Loss: 1.0573, Energy Loss: 0.5810, Duration Loss: 0.1958
Step 800/900000, Total Loss: 3.9100, Mel Loss: 0.9640, Mel PostNet Loss: 1.0251, Pitch Loss: 1.0231, Energy Loss: 0.7291, Duration Loss: 0.1688
Step 900/900000, Total Loss: 4.7908, Mel Loss: 0.9259, Mel PostNet Loss: 1.0913, Pitch Loss: 1.5454, Energy Loss: 1.0747, Duration Loss: 0.1536
Step 1000/900000, Total Loss: 3.6191, Mel Loss: 0.9551, Mel PostNet Loss: 0.9608, Pitch Loss: 0.9423, Energy Loss: 0.5904, Duration Loss: 0.1705
Step 1100/900000, Total Loss: 3.1666, Mel Loss: 0.8737, Mel PostNet Loss: 0.9874, Pitch Loss: 0.7384, Energy Loss: 0.4351, Duration Loss: 0.1321
Step 1200/900000, Total Loss: 3.4433, Mel Loss: 0.8615, Mel PostNet Loss: 0.8899, Pitch Loss: 0.8883, Energy Loss: 0.6808, Duration Loss: 0.1228
Step 1300/900000, Total Loss: 3.5473, Mel Loss: 0.8311, Mel PostNet Loss: 0.8543, Pitch Loss: 0.7060, Energy Loss: 1.0411, Duration Loss: 0.1147
Step 1400/900000, Total Loss: 3.2737, Mel Loss: 0.8493, Mel PostNet Loss: 0.8745, Pitch Loss: 0.7194, Energy Loss: 0.7067, Duration Loss: 0.1238
Step 1500/900000, Total Loss: 3.8832, Mel Loss: 1.0552, Mel PostNet Loss: 1.0868, Pitch Loss: 0.7020, Energy Loss: 0.8849, Duration Loss: 0.1544
Step 1600/900000, Total Loss: 4.8934, Mel Loss: 0.9738, Mel PostNet Loss: 0.9987, Pitch Loss: 2.3077, Energy Loss: 0.4836, Duration Loss: 0.1297
Step 1700/900000, Total Loss: 4.2218, Mel Loss: 0.9616, Mel PostNet Loss: 0.9922, Pitch Loss: 1.2499, Energy Loss: 0.9040, Duration Loss: 0.1141
Step 1800/900000, Total Loss: 2.7082, Mel Loss: 0.8009, Mel PostNet Loss: 0.8128, Pitch Loss: 0.4950, Energy Loss: 0.5144, Duration Loss: 0.0850
Step 1900/900000, Total Loss: 3.9525, Mel Loss: 0.8440, Mel PostNet Loss: 0.8566, Pitch Loss: 1.5555, Energy Loss: 0.5107, Duration Loss: 0.1858
Step 2000/900000, Total Loss: 3.3815, Mel Loss: 0.8176, Mel PostNet Loss: 0.8417, Pitch Loss: 1.0318, Energy Loss: 0.5720, Duration Loss: 0.1184
Step 2100/900000, Total Loss: 2.9103, Mel Loss: 0.8347, Mel PostNet Loss: 0.8396, Pitch Loss: 0.5796, Energy Loss: 0.5476, Duration Loss: 0.1088
Step 2200/900000, Total Loss: 3.5066, Mel Loss: 0.8651, Mel PostNet Loss: 0.8730, Pitch Loss: 0.8540, Energy Loss: 0.7685, Duration Loss: 0.1460
Step 2300/900000, Total Loss: 3.1274, Mel Loss: 0.8080, Mel PostNet Loss: 0.8318, Pitch Loss: 0.7963, Energy Loss: 0.5672, Duration Loss: 0.1241
Step 2400/900000, Total Loss: 3.2407, Mel Loss: 0.7752, Mel PostNet Loss: 0.7863, Pitch Loss: 0.8137, Energy Loss: 0.7638, Duration Loss: 0.1017
Step 2500/900000, Total Loss: 2.7370, Mel Loss: 0.8006, Mel PostNet Loss: 0.8043, Pitch Loss: 0.4300, Energy Loss: 0.5823, Duration Loss: 0.1198
Step 2600/900000, Total Loss: 3.1980, Mel Loss: 0.8513, Mel PostNet Loss: 0.8556, Pitch Loss: 0.9975, Energy Loss: 0.3766, Duration Loss: 0.1170
Step 2700/900000, Total Loss: 3.0785, Mel Loss: 0.8084, Mel PostNet Loss: 0.8188, Pitch Loss: 0.7230, Energy Loss: 0.6351, Duration Loss: 0.0932
Step 2800/900000, Total Loss: 2.9041, Mel Loss: 0.8230, Mel PostNet Loss: 0.8343, Pitch Loss: 0.5515, Energy Loss: 0.5841, Duration Loss: 0.1112
Step 2900/900000, Total Loss: 3.2012, Mel Loss: 0.7912, Mel PostNet Loss: 0.7896, Pitch Loss: 0.9028, Energy Loss: 0.5994, Duration Loss: 0.1182
Step 3000/900000, Total Loss: 5.8273, Mel Loss: 0.8215, Mel PostNet Loss: 0.8229, Pitch Loss: 3.2209, Energy Loss: 0.8304, Duration Loss: 0.1316
Step 3100/900000, Total Loss: 2.5958, Mel Loss: 0.7458, Mel PostNet Loss: 0.7498, Pitch Loss: 0.4426, Energy Loss: 0.5118, Duration Loss: 0.1457
Step 3200/900000, Total Loss: 2.9474, Mel Loss: 0.7656, Mel PostNet Loss: 0.7687, Pitch Loss: 0.7613, Energy Loss: 0.5636, Duration Loss: 0.0881
