audio,duration
SSB16250279,0:00:15.720000
SSB05440247,0:00:14.859002
SSB16250105,0:00:13.260000
SSB05900401,0:00:13.159909
SSB06710228,0:00:12.757823
SSB05440038,0:00:12.684989
SSB07000265,0:00:11.910159
SSB13770064,0:00:11.562041
SSB18280009,0:00:11.520998
SSB19560382,0:00:11.408980
SSB16250116,0:00:11.010023
SSB00050274,0:00:10.984399
SSB19560441,0:00:10.931882
SSB01490134,0:00:10.928980
SSB19560350,0:00:10.894059
SSB09350475,0:00:10.883084
SSB00050203,0:00:10.863311
SSB01490077,0:00:10.817007
SSB11610007,0:00:10.703129
SSB06310315,0:00:10.686032
SSB07020081,0:00:10.681179
SSB07170156,0:00:10.681179
SSB03790089,0:00:10.680045
SSB14480102,0:00:10.557868
SSB00050171,0:00:10.539093
SSB00050100,0:00:10.539048
SSB03090323,0:00:10.514921
SSB06090036,0:00:10.446304
SSB01490117,0:00:10.400045
SSB06310048,0:00:10.373061
SSB00050250,0:00:10.373016
SSB15750069,0:00:10.356100
SSB19390228,0:00:10.349116
SSB07000358,0:00:10.344989
SSB06090413,0:00:10.309116
SSB11100032,0:00:10.277370
SSB18310269,0:00:10.268073
SSB02460223,0:00:10.260045
SSB11260428,0:00:10.256961
SSB02410226,0:00:10.224989
SSB00050450,0:00:10.184082
SSB16250376,0:00:10.144036
SSB06090305,0:00:10.109887
SSB19390309,0:00:10.107937
SSB04150357,0:00:10.051066
SSB01490292,0:00:10.003900
SSB11610185,0:00:10.002086
SSB05900406,0:00:09.980136
SSB11610385,0:00:09.967029
SSB00050347,0:00:09.943991
SSB18090018,0:00:09.938141
SSB16990345,0:00:09.925034
SSB01490015,0:00:09.889161
SSB01490271,0:00:09.887937
SSB06310450,0:00:09.861814
SSB00050374,0:00:09.819093
SSB03660423,0:00:09.798821
SSB18320263,0:00:09.780998
SSB02730321,0:00:09.756100
SSB16860263,0:00:09.728027
SSB16250037,0:00:09.719955
SSB00050027,0:00:09.708027
SSB11610144,0:00:09.694966
SSB00050022,0:00:09.687029
SSB11610273,0:00:09.677007
SSB12530031,0:00:09.645986
SSB11260139,0:00:09.615011
SSB02410178,0:00:09.605986
SSB17110336,0:00:09.593016
SSB13400087,0:00:09.593016
SSB14480228,0:00:09.591066
SSB06310120,0:00:09.586939
SSB01490107,0:00:09.572018
SSB18310123,0:00:09.572018
SSB02730232,0:00:09.564943
SSB07000279,0:00:09.563129
SSB00050230,0:00:09.551020
SSB13280161,0:00:09.541995
SSB04820328,0:00:09.514921
SSB16250503,0:00:09.510023
SSB02730077,0:00:09.500998
SSB01490108,0:00:09.500000
SSB00570189,0:00:09.478050
SSB07000286,0:00:09.466077
SSB00110095,0:00:09.451202
SSB13770034,0:00:09.450930
SSB00050001,0:00:09.444354
SSB04340069,0:00:09.427302
SSB05350412,0:00:09.419909
SSB14370266,0:00:09.417007
SSB01490225,0:00:09.414059
SSB11610039,0:00:09.397098
SSB18310363,0:00:09.393061
SSB12530349,0:00:09.387937
SSB11610251,0:00:09.379909
SSB01490355,0:00:09.379048
SSB13660184,0:00:09.369161
SSB10500461,0:00:09.364989
SSB19560025,0:00:09.350113
SSB16860069,0:00:09.328118
SSB12530375,0:00:09.322041
SSB01490397,0:00:09.313016
SSB06310070,0:00:09.301995
SSB05350183,0:00:09.299819
SSB04820287,0:00:09.288118
SSB00050145,0:00:09.281995
SSB01490444,0:00:09.278095
SSB00050186,0:00:09.271973
SSB16250438,0:00:09.271610
SSB06010249,0:00:09.260045
SSB02410055,0:00:09.258957
SSB01490229,0:00:09.250023
SSB01490428,0:00:09.250023
SSB15550179,0:00:09.247982
SSB18320403,0:00:09.220000
SSB05390166,0:00:09.200045
SSB11610051,0:00:09.178005
SSB06310233,0:00:09.173832
SSB13660342,0:00:09.165034
SSB07580139,0:00:09.155057
SSB16860083,0:00:09.155057
SSB04340165,0:00:09.148662
SSB16300127,0:00:09.140045
SSB09660016,0:00:09.140000
SSB16250079,0:00:09.120000
SSB16250277,0:00:09.114467
SSB05900284,0:00:09.110023
SSB11610046,0:00:09.107891
SSB02730036,0:00:09.106984
SSB06090457,0:00:09.103991
SSB18460420,0:00:09.102222
SSB06310348,0:00:09.095238
SSB19560479,0:00:09.086939
SSB10500101,0:00:09.076689
SSB10240394,0:00:09.074966
SSB02410053,0:00:09.062041
SSB07860299,0:00:09.053107
SSB18320117,0:00:09.050068
SSB14020363,0:00:09.050023
SSB00050064,0:00:09.049342
SSB12180161,0:00:09.042993
SSB00050083,0:00:09.036009
SSB16860214,0:00:09.035057
SSB11610363,0:00:09.029025
SSB07580202,0:00:09.020045
SSB02880223,0:00:09.011973
