audio,duration
7517_100437_000004_000001,0:00:33.250023
839_130898_000011_000001,0:00:32.360000
669_129074_000028_000000,0:00:31.920000
8095_274345_000033_000004,0:00:31.289977
254_145458_000013_000001,0:00:31.090023
669_129061_000040_000004,0:00:30.670068
5322_7678_000004_000007,0:00:30.600000
26_496_000029_000000,0:00:30.569977
7780_274562_000005_000006,0:00:30.420000
26_496_000026_000000,0:00:30.390023
6454_107462_000016_000001,0:00:30.100000
6181_216552_000012_000001,0:00:29.790023
1098_133695_000014_000003,0:00:29.330023
26_496_000021_000004,0:00:29.220091
3235_28452_000007_000001,0:00:29.210023
6181_216552_000078_000001,0:00:29.130023
6385_34669_000011_000005,0:00:29.040000
233_155990_000002_000000,0:00:29.010023
1737_146161_000015_000000,0:00:29
6880_216547_000018_000001,0:00:28.980000
6385_220959_000002_000002,0:00:28.930023
233_155990_000006_000010,0:00:28.860000
7178_34645_000012_000000,0:00:28.770023
1363_139304_000004_000001,0:00:28.730023
8238_274553_000008_000004,0:00:28.620000
200_126784_000006_000000,0:00:28.590023
4680_16041_000025_000000,0:00:28.390068
6209_34601_000163_000000,0:00:28.360000
6181_216552_000049_000005,0:00:28.280045
669_129061_000003_000001,0:00:28.150023
8238_274553_000027_000002,0:00:27.940045
7302_86815_000049_000002,0:00:27.940000
4640_19187_000004_000000,0:00:27.910023
8238_274553_000008_000003,0:00:27.820000
7278_104730_000006_000005,0:00:27.760000
7278_246956_000012_000005,0:00:27.680000
446_123501_000021_000000,0:00:27.610023
8051_295385_000016_000001,0:00:27.610023
250_142276_000006_000007,0:00:27.540000
5750_100289_000010_000001,0:00:27.420000
60_121082_000005_000006,0:00:27.230023
2416_152139_000001_000000,0:00:27.140000
405_130895_000039_000001,0:00:27.070068
7780_274562_000009_000001,0:00:27.050068
669_129074_000005_000002,0:00:27.040000
3699_19402_000007_000000,0:00:27.040000
4362_15663_000023_000003,0:00:27.010068
7447_91186_000004_000002,0:00:26.880000
196_122150_000009_000001,0:00:26.860000
4362_15663_000030_000001,0:00:26.730023
6181_216552_000036_000004,0:00:26.669932
1334_135589_000062_000004,0:00:26.660045
6836_76549_000003_000008,0:00:26.650023
669_129074_000023_000001,0:00:26.570113
3240_131231_000064_000000,0:00:26.490023
26_496_000029_000001,0:00:26.470023
3235_28433_000013_000001,0:00:26.460000
40_121026_000224_000000,0:00:26.449977
2196_170379_000010_000001,0:00:26.440000
26_496_000028_000000,0:00:26.350023
8425_292520_000024_000000,0:00:26.350023
5778_12761_000008_000002,0:00:26.330023
78_368_000016_000002,0:00:26.300000
26_496_000012_000000,0:00:26.289977
26_495_000052_000000,0:00:26.260000
7780_274562_000011_000001,0:00:26.229977
3879_173592_000035_000005,0:00:26.180000
8238_274553_000013_000001,0:00:26.149977
8051_295385_000009_000000,0:00:26.050023
405_130895_000064_000000,0:00:26.040045
4088_158077_000061_000000,0:00:25.960000
446_123501_000010_000000,0:00:25.950023
4813_248641_000016_000003,0:00:25.950023
669_129061_000023_000007,0:00:25.940045
7178_34645_000028_000007,0:00:25.889932
250_142276_000003_000002,0:00:25.880000
8630_305213_000017_000000,0:00:25.870023
2416_152139_000028_000001,0:00:25.790023
8095_274346_000032_000000,0:00:25.760045
4898_28461_000004_000002,0:00:25.760000
254_145458_000011_000001,0:00:25.710023
27_123349_000006_000000,0:00:25.710023
3486_166446_000060_000000,0:00:25.700045
6019_3185_000022_000003,0:00:25.680045
5322_7679_000001_000001,0:00:25.620000
446_123501_000015_000000,0:00:25.610023
446_123501_000017_000002,0:00:25.600000
6385_220959_000016_000000,0:00:25.590023
6019_3185_000012_000004,0:00:25.590023
8108_274318_000001_000001,0:00:25.580000
26_496_000019_000004,0:00:25.580000
250_142276_000006_000010,0:00:25.510023
3436_172162_000016_000005,0:00:25.500000
6454_120342_000020_000000,0:00:25.490023
26_495_000007_000003,0:00:25.430023
2092_145706_000014_000000,0:00:25.410023
6880_216547_000021_000000,0:00:25.330023
1355_39947_000024_000006,0:00:25.289796
1963_142393_000012_000001,0:00:25.270023
3374_298025_000015_000004,0:00:25.260000
7780_274562_000006_000006,0:00:25.260000
4362_15663_000036_000003,0:00:25.210113
6531_61334_000048_000000,0:00:25.139955
8108_280359_000003_000000,0:00:25.080000
909_131045_000007_000001,0:00:25.050023
412_126975_000022_000001,0:00:25.040045
2893_139322_000017_000001,0:00:25.040000
3664_178355_000003_000000,0:00:25.030023
8797_294123_000034_000009,0:00:24.990023
6529_62554_000018_000000,0:00:24.980000
8747_293952_000003_000001,0:00:24.950023
4898_28461_000007_000001,0:00:24.950023
40_121026_000037_000001,0:00:24.930023
196_122159_000001_000007,0:00:24.930023
7226_86964_000006_000001,0:00:24.900000
5393_19219_000015_000006,0:00:24.860000
7517_100437_000007_000006,0:00:24.860000
6529_62554_000017_000001,0:00:24.820000
6836_76549_000002_000007,0:00:24.800000
8095_274348_000001_000002,0:00:24.650023
4813_248638_000017_000000,0:00:24.609977
7517_100437_000005_000000,0:00:24.580000
3699_19402_000008_000000,0:00:24.560000
8629_261139_000015_000004,0:00:24.560000
669_129074_000003_000000,0:00:24.560000
7447_91187_000007_000001,0:00:24.550023
6019_3185_000023_000003,0:00:24.510068
909_131045_000015_000003,0:00:24.510068
7148_82991_000014_000003,0:00:24.450023
4362_15663_000020_000000,0:00:24.430068
6880_216547_000035_000001,0:00:24.430023
26_496_000022_000000,0:00:24.390068
233_155990_000022_000000,0:00:24.390023
6563_285357_000011_000001,0:00:24.370023
196_122152_000001_000000,0:00:24.320000
7447_91186_000035_000001,0:00:24.289932
6836_61803_000016_000000,0:00:24.230023
6437_66172_000005_000001,0:00:24.220000
2416_152139_000063_000008,0:00:24.210023
1235_135884_000005_000001,0:00:24.200000
1502_122619_000058_000004,0:00:24.190068
4267_72637_000016_000000,0:00:24.190023
254_145458_000020_000001,0:00:24.110023
5339_14134_000013_000000,0:00:24.050023
7178_34645_000028_000009,0:00:24.039955
1088_129236_000028_000010,0:00:24
8095_274345_000021_000001,0:00:24
8051_118101_000014_000003,0:00:24
1594_135914_000030_000000,0:00:23.980091
412_126975_000087_000005,0:00:23.980000
911_128684_000012_000013,0:00:23.969977
5339_14134_000013_000004,0:00:23.940000
6367_65536_000007_000005,0:00:23.940000
5750_100289_000028_000001,0:00:23.910023
233_155990_000006_000005,0:00:23.860000
4640_19188_000021_000056,0:00:23.850023
8975_270782_000021_000004,0:00:23.849977
233_155990_000009_000001,0:00:23.840000
8238_283452_000033_000005,0:00:23.840000
4362_15663_000027_000004,0:00:23.790068
332_128985_000026_000002,0:00:23.760000
3486_166446_000058_000002,0:00:23.740000
5022_29405_000036_000005,0:00:23.720000
254_145458_000012_000004,0:00:23.710023
2136_5140_000025_000001,0:00:23.690023
27_123349_000011_000000,0:00:23.660000
83_3054_000005_000000,0:00:23.640000
250_142276_000014_000004,0:00:23.630068
3436_172162_000011_000010,0:00:23.620000
8095_274345_000023_000005,0:00:23.570023
7402_59171_000011_000009,0:00:23.570023
7264_92314_000005_000000,0:00:23.570023
6880_216547_000052_000005,0:00:23.560045
7505_258964_000014_000001,0:00:23.560000
4680_16042_000020_000024,0:00:23.549977
4362_15663_000033_000001,0:00:23.540045
669_129061_000024_000003,0:00:23.510023
7302_86815_000046_000001,0:00:23.510023
40_222_000042_000000,0:00:23.490113
7178_34644_000061_000000,0:00:23.480045
374_180298_000016_000002,0:00:23.480000
4362_15663_000001_000001,0:00:23.480000
4340_15220_000004_000001,0:00:23.410023
1263_138246_000044_000000,0:00:23.410023
1355_39947_000026_000008,0:00:23.369887
405_130894_000041_000002,0:00:23.360000
83_3054_000004_000010,0:00:23.360000
6181_216552_000007_000003,0:00:23.340000
6181_216552_000009_000003,0:00:23.300000
8312_279791_000055_000000,0:00:23.290068
8465_246940_000032_000004,0:00:23.280000
8226_274371_000040_000003,0:00:23.260000
4813_248638_000016_000000,0:00:23.240000
60_121082_000007_000005,0:00:23.230023
3374_298026_000010_000000,0:00:23.220000
8312_279790_000048_000001,0:00:23.220000
7794_295955_000002_000041,0:00:23.210023
2691_156755_000014_000000,0:00:23.210023
7226_86964_000006_000000,0:00:23.200000
26_496_000030_000000,0:00:23.190113
6880_216547_000015_000000,0:00:23.170023
4680_16042_000021_000000,0:00:23.160045
1594_135914_000031_000000,0:00:23.150068
2092_145709_000006_000003,0:00:23.130023
